ks-eval N ps=0.19 pr=0.50 src=punct_final | 너는 조그마한하거든 ‖ 애가 | next tags [['punct_final']]
ks-long A ps=1.00 pr=0.00 src=stageA,punct_final | 또 아 진짜 딱 그거였어 ‖ 화장실 들어갈 때 나올 때 | next tags [[], []]
ks-long A ps=0.00 pr=0.99 src=stageA,punct_final | 고등학교 이제 삼 학년 이 학년 ‖ 그때부터 이제 애들하고 같이 노래방 | next tags [[], []]
ks-long A ps=0.61 pr=1.00 src=stageA,punct_final | 거 같은 거는 다 다이소에 있겠네 ‖ 웬만해서 | next tags [['punct_final']]
ks-long A ps=0.87 pr=1.00 src=punct_final | 아니야 이게 안보이는 수영을 하는 느낌 ‖ 나한테는 음 | next tags [[], []]
ks-long N ps=0.00 pr=0.82 src=stageA,punct_final | 학이 어디야 이 학 이 학 ‖ 이 학 그 구카페만한 그 | next tags [[], []]
ks-long A ps=0.17 pr=1.00 src=stageA,punct_final | 입어보고 그 사이즈부터 알아내야 할거 같아 ‖ 내가 만약 인터넷으로 산다고 하면 | next tags [[], []]
ks-long N ps=0.99 pr=1.00 src=stageA,punct_final | 나 어제 스키장 갔다 왔구나 ‖ 어제가 아니고 이 박 삼 | next tags [[], []]
ks-long A ps=0.74 pr=1.00 src=stageA,punct_final | 볼 거니까 너 보고 너한테 물어봐야지 ‖ 면접 어떻게 봤는지 | next tags [[], []]
ks-long N ps=0.00 pr=0.00 src=punct_final | 일본에 온천문화가 발달돼가지구 이렇게 한국에서 뭐 ‖ 목욕탕 가면 물이 좋긴 좋은데 | next tags [[], []]
ks-long N ps=0.93 pr=0.06 src=punct_final | 아 네 ‖ 이제 그 강의하시는 선생님들을 이제 | next tags [[], []]
ks-long A ps=0.50 pr=0.99 src=stageA,punct_final | 학습 보조를 하기 위해서 지원을 하고요 ‖ 둘 째는 또 이제 청소나 | next tags [[], []]
ks-long A ps=0.38 pr=1.00 src=stageA,punct_final | 잘 챙겨 주고 막 이렇게 보이지 ‖ 아니야 누나 한 번 휙 | next tags [['punct_final'], []]
ks-long A ps=0.52 pr=1.00 src=stageA,punct_final | 안 주니까 한 번 물어보기 시작했고 ‖ 우리가 답을 너무 꼼꼼하게 잘해주니까 | next tags [[], []]
ks-long N ps=0.00 pr=1.00 src=stageA,punct_final | 솔직히 ‖ 사랑 그 그렇다고 엄청 어려운 | next tags [[], []]
ks-long N ps=0.63 pr=1.00 src=stageA,punct_final | 네 ‖ 석사 박사 과정을 거의 밟 | next tags [[], []]
ks-long N ps=0.65 pr=1.00 src=stageA,punct_final | 진 적이 진짜 한 번 지잖아 ‖ 무너져 게다가 이게 전략이 파해가 | next tags [[], []]
