type	id	raw	target	ok?	note
plain	5239-31629-0054	I HAD ALL HANDS PIPED ON DECK AND WE BATTENED DOWN EVERYTHING LOOSE TO MAKE READY FOR A STORM	i had all hands piped on deck and we battened down everything loose to make ready for a storm		
plain	3835-178030-0020	WHAT FOR A LONG WHILE SPECIALLY SURPRISED AND DELIGHTED HIM WERE THE WOMEN YOUNG AND HEALTHY WITHOUT A DOZEN OFFICERS MAKING UP TO EACH OF THEM WOMEN TOO WHO WERE PLEASED AND FLATTERED THAT A PASSING OFFICER SHOULD JOKE WITH THEM	what for a long while specially surprised and delighted him were the women young and healthy without a dozen officers making up to each of them women too who were pleased and flattered that a passing officer should joke with them		
plain	7139-75362-0021	FRIENDSHIP BETWEEN MAN AND WIFE THE TIE THAT IN CONTEMPORARY SOCIETY MOST NEARLY RESEMBLES THE ANCIENT IDEAL OF FRIENDSHIP IS A WELL ASSORTED MARRIAGE IN SPITE OF INTELLECTUAL DISPARITY	friendship between man and wife the tie that in contemporary society most nearly resembles the ancient ideal of friendship is a well assorted marriage in spite of intellectual disparity		
plain	7460-92002-0034	HER AUNT INDEED AND	her aunt indeed and		
plain	2618-138042-0030	FOR NEITHER WOMEN NOR CHILDREN CAN MAINTAIN IT NOR CAN THEY WOUND NOR HAVE THEY ANY WAY OF STANDING THEIR GROUND AND IT IS JUST THE SAME WITH THOSE CONNECTED WITH RELIGION FOR THESE THREE SORTS OF PERSONS ARE WITHOUT ARMS OFFENSIVE OR DEFENSIVE	for neither women nor children can maintain it nor can they wound nor have they any way of standing their ground and it is just the same with those connected with religion for these three sorts of persons are without arms offensive or defensive		
plain	6499-87508-0036	ESTEEM THE SICK LOVE THEM RESPECT AND HONOUR THEM AS BEING CONSECRATED BY THE UNCTION OF THE CROSS AND MARKED WITH THE CHARACTER OF A SUFFERING JESUS CHARITY PAYS HONOUR TO THE AGED IN EVERY RESPECT	esteem the sick love them respect and honour them as being consecrated by the unction of the cross and marked with the character of a suffering jesus charity pays honour to the aged in every respect		
plain	5731-50776-0033	LAST AND SWEETEST OF ALL LIKE THE LITTLE CHILDREN IN AUSTRIA SHE PUT A LIGHTED CANDLE IN HER WINDOW TO GUIDE THE DEAR CHRIST CHILD LEST HE SHOULD STUMBLE IN THE DARK NIGHT AS HE PASSED UP THE DESERTED STREET	last and sweetest of all like the little children in austria she put a lighted candle in her window to guide the dear christ child lest he should stumble in the dark night as he passed up the deserted street		
plain	5333-5083-0008	AND HOW GO MARKETS IN THE SOUTH EVEN IN THE ORDINAR REPLIED MISTER CAMPBELL WISE FOLKS BUY AND SELL AND FOOLS ARE BOUGHT AND SOLD BUT WISE MEN AND FOOLS BOTH EAT THEIR DINNER ANSWERED OUR JOLLY ENTERTAINER	and how go markets in the south even in the ordinar replied mister campbell wise folks buy and sell and fools are bought and sold but wise men and fools both eat their dinner answered our jolly entertainer		
plain	6167-73972-0009	I AM OF OPINION THAT THE SHOW TABLE IS UNWORTHILY USED WHEN ITS OBJECT IS TO BE AN END IN ITSELF AND THAT IT SHOULD BE ONLY A MEANS TO A BETTER END AND THAT WHEN IT EXHIBITS WHAT HAS BECOME MERELY A FANCY	i am of opinion that the show table is unworthily used when its object is to be an end in itself and that it should be only a means to a better end and that when it exhibits what has become merely a fancy		
plain	3224-168198-0036	THAT IN A LITTLE TIME THEY COMPELLED THE SPANIARDS TO SURRENDER	that in a little time they compelled the spaniards to surrender		
plain	1425-139290-0022	IT IS NEVERTHELESS PLAIN THAT A VERY DIFFERENT LOOKING CLASS OF PEOPLE ARE SPRINGING UP AT THE SOUTH AND ARE NOW HELD IN SLAVERY FROM THOSE ORIGINALLY BROUGHT TO THIS COUNTRY FROM AFRICA	it is nevertheless plain that a very different looking class of people are springing up at the south and are now held in slavery from those originally brought to this country from africa		
plain	6458-232057-0050	I HAVE A IN FACT A DAUGHTER WELL YOU KNOW I HAVE GIVEN HER AH EVERY EDUCATIONAL ADVANTAGE LECTURES NOT A SOLITARY LECTURER OF ABILITY IN THE WORLD	i have a in fact a daughter well you know i have given her ah every educational advantage lectures not a solitary lecturer of ability in the world		
plain	1061-142358-0051	AND THE WORK OF THEIR BRAINS HAS GUIDED WELL THE HANDS OF OTHER MEN THEY WENT ABOUT IN THEIR YOUTH IN FLANNEL OR PAPER CAPS IN COATS BLACK WITH COAL DUST OR STREAKED WITH LIME AND RED PAINT IN OLD AGE THEIR WHITE HAIRS ARE SEEN IN A PLACE OF HONOUR AT CHURCH AND AT MARKET	and the work of their brains has guided well the hands of other men they went about in their youth in flannel or paper caps in coats black with coal dust or streaked with lime and red paint in old age their white hairs are seen in a place of honour at church and at market		
plain	17-363-0007	BUT THAT CANNOT BE THE HUMAN SENSES ARE INSURMOUNTABLE BARRIERS TO OUR UNION YET MINE SHALL NOT BE THE SUBMISSION OF ABJECT SLAVERY I WILL REVENGE MY INJURIES	but that cannot be the human senses are insurmountable barriers to our union yet mine shall not be the submission of abject slavery i will revenge my injuries		
plain	8190-284433-0016	SAID CAP'N BILL BUT O COURSE WE CAN'T STIR A STEP WITHOUT THE MAGIC UMBREL NO I MUST SURELY MANAGE TO GET MY UMBRELLA FIRST SAID BUTTON BRIGHT DO IT QUICK THEN URGED TROT FOR I CAN'T STAND THOSE SNUBNOSES MUCH LONGER I'LL DO IT TO NIGHT SAID THE BOY	said cap'n bill but o course we can't stir a step without the magic umbrel no i must surely manage to get my umbrella first said button bright do it quick then urged trot for i can't stand those snubnoses much longer i'll do it to night said the boy		
plain	4848-28247-0007	BUT HE HAD FAILED TO REALIZE HOW IT MIGHT EXTEND TO FRANCE AND WHEN NOW HE WAS OBLIGED WITH HIS OWN EYES TO WITNESS THE WAVES OF OCEAN ROLLING OVER WHAT ONCE HAD BEEN THE LOVELY SHORES OF PROVENCE	but he had failed to realize how it might extend to france and when now he was obliged with his own eyes to witness the waves of ocean rolling over what once had been the lovely shores of provence		
plain	81-121543-0100	AS HE WHO GOETH YONDER UNDERTOOK THAT HE MIGHT GAIN THE LADY OF THE HERD TO COUNTERFEIT IN HIMSELF BUOSO DONATI MAKING A WILL AND GIVING IT DUE FORM AND AFTER THE TWO MANIACS HAD PASSED ON WHOM I HELD MINE EYE	as he who goeth yonder undertook that he might gain the lady of the herd to counterfeit in himself buoso donati making a will and giving it due form and after the two maniacs had passed on whom i held mine eye		
plain	93-126209-0002	WHEN HE CONSIDERED WHAT HE HAD ALREADY DONE NOW AND THEN AS HE WENT ALONG HE TURNED TO FACE THE PEEPS OF COUNTRY ON EITHER SIDE OF HIM BUT HE HARDLY SAW THEM THE ACT WAS AN AUTOMATIC REPETITION OF WHAT HE HAD BEEN ACCUSTOMED TO DO WHEN LESS OCCUPIED	when he considered what he had already done now and then as he went along he turned to face the peeps of country on either side of him but he hardly saw them the act was an automatic repetition of what he had been accustomed to do when less occupied		
plain	7766-109658-0069	THEY WERE ALL YOURS OF COURSE I HATE TO MENTION THESE THINGS BUT OH COME NOW J P SAID THE CAPTAIN YOU KNOW I WAS JUST FOOLING I'LL PUT YOU OFF AT COLD BRANCH IF YOU SAY SO THE OTHER PASSENGERS GET OFF THERE TOO SAID MISTER BLOOM	they were all yours of course i hate to mention these things but oh come now j p said the captain you know i was just fooling i'll put you off at cold branch if you say so the other passengers get off there too said mister bloom		
plain	7294-86026-0038	BUT WHEN HER MOTHER IN LAW SAW IT WAS A GIRL SHE WRUNG HER HANDS AND WEPT SAYING O MISERABLE MOTHER MISERABLE CHILD ALAS FOR YOU WHY WERE YOU NOT A BOY	but when her mother in law saw it was a girl she wrung her hands and wept saying o miserable mother miserable child alas for you why were you not a boy		
